	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99
AD	-0.00034346401443977157	-0.0008657681343061776	0.0008428964742919209	0.0018564712662929802	-0.0016977434011558865	-0.001457853526236317	-0.0005484110501702185	-5.7488625523705474e-05	-0.0007070094342784367	0.0010262797385129276	3.316096781610999e-05	-0.00022603953145292757	0.0005993047353999764	-0.0014029497119084965	0.0009774825402088956	-0.0021821755784035457	-0.00023982275951495193	-0.000295626614006613	0.0005286208793994623	-0.000169466810698085	0.00022711429402647986	-0.0012285194117140194	0.00029425642924991714	-0.00031876022900223706	0.0006788697620304684	-0.00040604738861877647	-0.0022279926394535767	-0.0009887406567335361	-0.00017916244598267092	0.0006937436732454491	0.0008835987947782436	0.0007461416688745738	-0.0004437533417231206	-0.0014679103959788662	-0.00027987484321382884	0.0006838965752210869	0.0016063895126507517	-0.0001339482556481928	-0.0010616037412522297	-0.0009318250053572146	0.00034676645640755284	0.000427008333309243	0.000195565480636749	0.00030396714029685165	-0.0010374264002426525	-7.82790239402509e-05	4.65563793910309e-05	-0.0013174747117133281	-0.0009027864780170621	6.785898032731363e-05	2.555276987271202e-05	4.118685049588296e-05	0.00010093758745147894	0.0017645144627453143	-0.0003130911935333905	-0.0002723477793371131	-0.00013487909659823665	-0.0019674539690296765	8.525323434227119e-05	0.0005371164182088245	-0.0010230003731272514	-0.00018805552979817914	0.00012682682395226047	0.00024190393660876384	0.0012435914413929231	0.00028147618184243647	-0.0012728444812101485	0.0014555636659673167	-0.0001398960972741467	-0.00011965151950877398	0.00012321673197358674	0.0009151252590977426	0.0010974053503142725	0.0005191688107509076	0.00039976622134148596	0.0011721737046257077	-0.0007129611101154286	-0.0018122933579813344	0.001106659632707748	0.002139723699451685	-0.0017064334734750366	0.0005064248883629702	-0.001155758898480449	-0.0012533708865024376	-0.0004927451983184788	0.00214028377669089	0.002218221584644274	0.0012861577952971606	0.001550202744737233	-0.0009267050715236198	-0.0026999961395187196	0.0007792290311838049	0.002215218750120754	-0.0004899939372448036	0.00144408252389534	-0.002330906212309165	-0.0012177820418077313	-0.00416895957226792	0.0012680302614778006	0.0009130914952196304
AE	-0.0009066114480148216	-0.0007418151199171818	-0.0026103290494243207	-0.0005575914974769399	0.0014178352286039904	0.00028213401399777106	-0.004765883668528022	0.005440731679206	-0.0031660485031915183	0.0014792833697344686	0.0027155445615193907	-0.0018616977811646645	0.007922682793027023	0.0017256726350382361	0.013313887812680163	0.008071178646491846	5.839814208988508e-05	0.024754985401284936	-0.004263728749233202	0.006585427602708345	0.001532659881900103	0.005485646527385841	0.0034409149867690777	0.0032212394727308344	0.0017890044981213648	0.0018911348545286857	0.004606279623955443	0.00478231226756084	7.390624471622822e-05	-0.003604490143586359	0.0026944455291700127	0.0023683170419314357	0.0010301551147948683	-0.0030809434912294482	0.005390559660471836	-0.0025785350580981	0.003022064830011011	-0.0009687831301238226	-0.004301957097340736	0.0003626474967675098	-0.004954245009295459	-0.002021566192456258	0.0006402897054194633	0.0024575950857962372	0.0008215666186763043	-0.005346272991433907	-0.0033103481842350407	0.0028163367050944212	-1.1951687046639303e-05	-0.006944788672609948	-0.0014301058386659287	0.002491205061880663	-0.004110820111687028	-0.004034642133728714	0.001175420233034282	-0.0019663317359238197	0.002620372436625888	-0.006432366026642351	0.004447130388957845	-0.002878123475426359	-0.00417083001546437	-0.005342789591650951	-0.0007049711422894465	-0.0019251913381910413	0.005601388650445175	-0.0008357352163026886	-0.0012361844150148309	-0.007111151026615621	0.0027313356226915187	0.00199558550810931	-0.0005341399281606607	0.0046842178833730866	0.003254699517588269	0.0005564714953957916	-0.00894786859761333	-0.000622735538370553	2.638038034079457e-06	0.004290288369419718	0.0009323005696424377	0.006014742036620876	-0.0051136238908612314	-0.005976050291517124	-0.003476297730478409	-0.006029654679079179	-0.005873822847462241	-0.0021528533086296077	-0.001983009643336511	0.0014962746376961022	-0.0021644148550141896	0.011258435115332999	-0.0008712548408608007	-0.0006748451451045656	-0.0036665064875977408	-0.0004020504314661898	0.0012941636009944526	0.0031405489899102514	0.0061514315152936885	-0.0028655930044172487	0.006639326820368756	0.0006000020377827768
AF	-0.010317235590315638	-0.0002149089862587347	-0.017100625685996004	-0.0017903087015420374	0.021880548606991256	-0.0028926597326904527	-0.013242568007920438	0.01695968850897879	-0.018095689017240724	0.009837170353634114	0.01049734577431343	-0.008019057494078172	0.009012289860963394	0.0043249368867136345	0.004426842965543633	0.008028496951335735	-0.0021811912880832524	0.01621346434282905	-0.015029906664299267	-0.014004839770093638	-0.0011350507755031659	0.010542930534160805	-0.011111176089156644	-0.009711425889823625	-0.012159691890861442	0.007435944398579891	-0.013283416973474155	0.010368437480993796	-0.01741086082272332	-0.00016898030440671357	0.018247297607160103	-0.014884775157599776	0.013490422237456832	-0.026044449915459754	-0.0026989605703236644	0.009442413914540598	-0.0018938267203125062	-0.01932231504306445	0.018649617318023736	-0.011925205448987914	-0.025136873892119663	-0.010680427459564976	0.018860044943403785	0.009688481762034093	0.039734892394468625	-0.04812787017442234	-0.024449614617814284	-0.06826829599094726	0.01677792256643451	-0.0059779064544380174	-0.06533056327053767	-0.03093091459634857	-0.031884599695589946	-0.0023516776871766415	0.06908465853989051	-0.09632451526313934	0.0696869178149102	0.06588155783522377	-0.10687309304227965	0.15541738447383388	-0.02330694034457852	-0.05930187906862131	0.005505488486516617	0.023069720259898473	-0.031228398570987817	-0.0449746005861124	0.033465334365396	0.09550139809127048	-0.02324676840070387	0.008004535609494087	-0.021887801882863513	-0.061517064196171804	-0.3798667014613698	0.6531719137679964	0.15495757333769483	-0.0712063420142765	-0.05744552262250037	-0.0012234366306730373	-0.0018566815874039675	0.10077470435507789	-0.05490398965931071	-0.04741713228410172	-0.0024383159287586775	-0.0193429293240203	-0.17018723487427315	-0.054781187185029834	-0.06679324745449637	-0.06683476158389497	-0.30734853042461147	-0.06374784253485745	-0.06146721119826641	0.07677103661622373	0.06723492447599506	0.02200155580137779	0.005796703457325461	-0.2203526309716354	-0.02858053598177981	0.018981667030961092	-0.0011414089442194138	0.04816674147742858
AG	0.0003334777450668811	-0.00052712935287033	6.121421153109788e-05	-0.0012429750905202262	-0.0003789636722484844	-0.0003815232167295707	-0.0015415455769905771	-0.0004523723880075134	-0.001066226483430339	-0.0006648758236167738	0.0005017505671831766	0.0006163711294069587	0.0005727743459227016	-0.0015709761053897778	0.0008878548272223917	-0.0024088994123799695	7.435279336633576e-05	-0.0011807976505001422	-0.0007047751417295798	-0.0004925685279859053	-0.0029250317042688236	0.0005989321770441117	-0.001297317979994382	-0.002601294420909124	-0.002859306719699614	0.0011240536096102723	0.0037681614161658647	-0.0015781344406645898	0.0014699130933052474	-0.00245308059969177	0.004839792702156097	-0.0015030668232138568	0.005411045536895247	0.004022879507753404	0.004302157295072361	-0.006156287981653171	-0.003746507735859037	0.0023652896932133518	-0.0038874254014281103	0.0014859131025559713	-0.0018896141655088089	0.0030053357090303046	-0.00021032102181509213	-0.005843727685850068	-0.00026046008845608876	0.0011400355400655654	-0.0010880730332363008	0.0011478574630712298	0.000265547119139299	0.002750394509535749	0.001008274041801351	-0.0009826787847672612	0.008540097069891648	-0.0002902883378068137	-0.00130351194061339	-0.0009470750711897761	-0.007835681404882094	0.001766299023992964	0.004190486008481647	0.0076680775260115335	0.0053061615031537905	0.001748774867575005	0.006038341771255646	0.0012839046007910029	-0.004995413928608256	0.002059220934476428	0.000585735992513038	-5.806632202844701e-05	-0.002822952352438144	-0.0014011352204539164	0.005929662389387195	-0.005639834035270991	-7.625696777026706e-05	0.0006869903184320566	-0.004222863049698636	0.00047223472584463904	0.001462339535960115	-0.003978115314776049	0.00043755414903771326	-0.003166137845735161	-0.0048566248371803445	-0.0039056060538246156	-0.002183332921761113	-0.0036716655251903324	-0.002269376190774322	0.0005639105351035751	0.029996559010785084	0.00022954157530689491	-0.009165245214534946	0.00858390422985499	0.0024391878424285794	0.007790482399198005	-0.00016072034028420104	-0.0002890200804348228	-0.0053329158391803395	-0.002101530911777653	-0.0009974662141869798	0.0015489766552401196	0.005528022209968229	0.0070830667099925715
AI	0.0007588852349120729	-0.0005630209738792752	4.2867990797979544e-05	2.5581505314036997e-05	0.00012120454289524817	2.124151029793308e-05	0.00014741159456929258	0.001050814229968153	-0.00036138512772605004	0.00016776006641522798	-0.00014573793036967708	0.0001278391912130129	-0.0005671098631213438	0.0005394777657525829	-0.00014344854587730878	-0.00012300824963056532	7.075989631760448e-05	5.688420203342509e-05	-6.415209092547538e-05	-0.0003674690697608837	-0.00011538753562096624	0.00016319936329924778	-0.00042784391084361333	-2.235209058219713e-05	-0.0004353546085490751	-7.639487238489691e-05	-0.0002827847026894252	-0.00030363203153205477	0.00021442826804916374	5.013991785998178e-05	0.0001607283046667915	-0.00023054888446647344	3.529857304362757e-05	-0.0003844445050331399	-0.0005155934798687656	-0.0008929459206571402	-0.0004472603871396328	0.00020723280863267147	0.0018205968027864392	0.0005027615247664239	0.0006853466059309604	-0.000856225032639736	-4.312753859210503e-05	-0.0012655471001232572	0.0013923416915246774	-0.0012107631134184419	-0.001008409144478363	0.0006027311125073399	0.0014514674432610387	-0.00019487642400456846	-0.0009296798337880872	-0.0036973839623880523	0.0024605637104139462	0.002823139120441325	0.000350198357738215	0.0006435988942507601	-0.00047894071716758635	0.00014211036009069907	0.0027490335498412885	0.0018167627854522791	0.0021123745311819996	-0.0015272476958599018	0.00082739859056501	-0.00023316014394342358	-8.944616560456147e-06	0.00034231429793908224	0.0011921007280044867	-0.0009499113760890909	0.0006211088247368213	-0.00024380517130673075	0.00014940990536938052	-0.0009065119575432099	-0.0011252536870337655	0.0002759565951941575	0.0005948034654311944	-0.0016576396843933925	-5.45917977394565e-05	0.0009115595488173628	0.00031035249879140153	-0.0004967428794242237	0.0009016843131499825	-0.00015345095593775386	0.00033312332041359865	-0.0002939138425956554	-0.0001238280514134281	-0.0008303396063298812	-0.0003739782156441782	-0.0006533155514893627	-0.0007404171580776173	0.0005266544917266908	0.001225447200806573	-0.0010903620343013479	0.0012295231745780581	-4.7320191378162735e-05	0.0004405869729550951	0.0008168118064416645	-0.0001137030235619978	-2.7434290627194418e-05	-0.0018604413465237672	0.0008818857294586154
AL	0.0002225456212666579	-0.0010187643475409154	0.0004934759766252735	0.0022823972450553495	-2.0507280168274996e-06	0.00023952902628335775	0.0012795973992217869	0.00032307528596976553	0.000411657695914162	0.0011358459340334696	-0.0004659910782153315	4.717139914808977e-05	0.0008853007188467015	0.002182343547108195	-0.001337056952404182	-0.0003281724509563524	0.0010011774097853242	0.0005151430852231895	0.005468355071939882	-0.002565171239844903	-0.002183203112105072	-0.0021714958738585205	0.0013637341333971023	-0.001031698883983158	0.00865973707504282	0.0015602835980901854	0.005592601185240524	0.0007285537162840645	0.0016009322220914203	0.0029772347536891064	0.0002406800851032134	0.002910674009415362	0.0034134077853377877	-9.743205535827271e-06	-0.002125113586394487	0.002363865121455521	-0.0009511760532380884	0.0015813905839018004	-0.0046989740786514845	-0.0033716800028412226	0.003110554253072182	0.0026189649727605133	-0.0002450064751255178	-0.0007124296698748655	-0.002393124113031511	-0.0013913203799107447	-0.0031965945930831556	0.00044897750459897196	0.0002539247753078071	0.001915941610161213	-2.3368329853326453e-05	0.0016853793962335714	-0.0010277440691012696	0.0003651092378491289	-0.0008849574536069828	-0.0026275720681823707	0.0012868902300169952	0.001251589062258638	0.0015017608058497584	-0.0029451890186068786	0.0005069396679883456	-0.0011373457395174485	-0.0013194018534222595	0.004026100092615579	0.003180935010085309	0.002779917924628437	0.00020211471881959245	0.0011538420361307206	-0.002549166281379699	0.003175793211408537	0.0018766552737678897	-0.0008363545246049552	-0.004063649667538812	-0.0003784260126125237	-0.0004170148641967929	0.005889852974585646	0.004242275590438983	-0.004772387665182888	0.003577783622354472	-0.0027092843440491496	-0.002138224958671744	-0.004464388927473096	0.004044309351467527	0.0035395853844205002	-0.0014130318966683556	0.00026505652170444126	8.152385976058456e-05	-0.005076155873027366	0.0044244126516968865	-0.0025641444292647123	0.0010403601599133382	0.001982086101821401	0.0021179473296204137	0.0012676683765929734	-0.00015021418822347825	0.0014719277778465858	-0.0007708481485766876	0.002695111212093333	-0.0011965777342490484	0.007087685964376221
AM	-0.00022793791040203704	-0.0007216859097646708	-0.0022706131993228216	0.001854051839680644	0.002946008418923583	-0.0027339733503207652	0.0012675143321497638	0.0008810442166566534	-0.00257413998244425	0.00032781188678314665	-0.0010044139602270528	0.002842573183998741	-0.00045986481019599866	0.0026446842450866628	9.507065628028703e-05	-0.0012036015488618675	0.001337373587183918	-0.0004683609821341705	-0.00018324648860519957	-0.0017762596978084875	-0.0024313228825360664	0.0017960049764716409	0.00212394238299103	0.0007998203045867388	0.0018399177367202032	0.004315571061742641	-0.00020078795494642775	-0.0007446359160253433	0.0016657527690099128	0.010792395063883038	0.006785972569410223	-0.007424548784654703	0.007843351713228705	-0.005685455881971716	0.006843932785656859	0.010489453082429401	-0.0047784303312316525	-0.008415582022361971	-0.0005142310925342658	0.004216789893824755	-0.006672567077850903	-0.00259340182257603	-0.0036525376995342257	-0.005564046632631611	0.011318261512025196	0.00361292614304271	-0.006373194339685104	-0.0041015161254177885	0.009243650339261467	0.006166225735798072	-0.02791910337082621	-0.010929370057020424	-0.009953404177128406	-0.0038308326370280112	0.012488654771825902	-0.0055354021951711865	0.02746896633513485	0.01412552661605168	-0.01897907060892809	0.014091302270822873	-0.01436544136622843	-0.003590288942935613	0.0011548920443209944	0.009781696882709408	-0.004926132106207357	0.007273554862467155	-0.009902803844542353	0.008766491413522277	-0.011185425034446483	-0.010950515194422417	-0.016035096772061476	0.016278779722010278	0.014376438930550123	-0.02812955620995695	-0.020850481534043175	0.023153987522884834	-0.012071518981922798	0.002834447456119025	0.03696609521256478	0.08367619998494866	-0.0034127783462712846	-0.0003043938892536917	0.02118019501258153	0.017847938597478265	-0.043646677754627085	-0.021385788293080243	0.021232182604332173	0.044523830422031015	0.014488996228420674	0.0361782890429775	0.002559961623230832	0.0031994448318682467	-0.00806962384519133	0.016522747386996352	0.0012353439722443509	0.009352524673688124	-0.00671162970194619	0.011035446270817465	-0.0007984842476558195	-0.011110324162564092
AO	0.0006086798591472688	0.004260523698078286	0.0011274608711319696	0.00011503256307442378	-0.0018174627812217725	-0.002449348735806376	0.006500955477942737	-0.0011747905199329723	-0.001704719378782389	-0.0012888650115894676	0.007026379307201029	0.0008608072573671355	0.005704224504640674	0.002296587695297635	0.0002662941526355411	-0.014269361848820996	0.004354689456243437	8.21172258473828e-05	-0.003691779805281755	0.0005838479559784091	-0.0030213375100706006	-0.0013013994552926829	0.0032090510003420763	0.000904423643022081	0.0036193877370307246	-0.002332881787922214	0.005084771864739647	0.005333576185462945	-0.007259451508937954	-0.002583702506269319	0.014131484102088187	-0.010491412855423505	0.0013065298503365278	0.003346654569265488	-0.014360036728806988	-0.017373087061214806	0.014671662536869662	-0.00341033536836136	-0.004810638122711533	0.009482094557961873	0.006922716477577239	-0.008542446655877426	-0.014750809838644878	-0.018158517171005195	-0.008774171953567618	-0.015995738348885055	0.01931542304900559	0.009971813886736713	-0.007851920410501633	0.007862681475546572	-0.005135922237257326	-0.021854487765788175	-0.0044802365506711175	-0.016107314527718738	0.005836461148997493	0.005783444259595647	-0.00367002528198062	-0.004298183270542032	-0.002488453773768774	-0.007298303481715395	0.004578492468920395	-0.016624098970575218	0.003258152433903192	0.008870273516078933	-0.0013738509353642618	-0.010773638872186695	5.5243397697271605e-05	0.002472766828612678	-0.007493612366196689	-0.0036488307644784138	0.0066108003307352526	0.001481650058495787	-0.0023507717048139205	-0.004469025064419637	0.012111076442867833	-0.011059026697593299	-0.013463214608466912	0.0012959661663945062	-0.0009679738477239256	-0.0012102550841144647	0.024676378646157387	-0.008358717014656564	0.006691528528970066	-0.0020506255415061675	0.0012222447393849176	-0.0028977469254694204	0.001635918937978743	0.022582228761522445	-0.004288848393620893	-0.006208884455932385	0.002058472578576496	0.012720872736525873	-0.004284070692398022	0.006469057191092952	-0.00020303610659886529	-0.0017461489633963025	-0.0006424514461455333	0.01218045449657755	0.010476358493295665	0.0001333738012176199
AQ	-0.001454482255667361	0.0007886764255969222	-0.0035700855032331992	-0.001859379729419607	0.001004914760199552	-0.0012390719875658067	2.153995584686521e-05	0.0016483350337997515	-0.0014933517689800966	0.00012266091400038636	0.003507343040768061	0.0013273859802685473	-0.0006776200970297831	0.000252274600594746	-0.002895306056184224	-0.00033303879121344466	0.003196016077077373	-0.00022592255019610215	0.0025047374110332057	0.00036670363962238497	-0.0009517439017274902	0.0028673968555569026	0.0011590321510124488	-0.00022994365339182998	-0.002649117094701625	0.005888700258724918	-0.00014329811052596903	0.0014100893504388526	-0.0031842835277726416	0.0004591919104004671	0.0011118645421723176	-0.002244985513649124	0.00678838768784382	-0.00324658059122443	-0.0069214433963716146	0.006242261772921661	0.00043874810187924574	-0.0068075701742528845	-0.0006841960898110451	0.0040764257798701145	-0.002072612917180046	-0.002462290656482888	0.0025012352714439325	0.016032909816056207	-0.00015706622285516887	0.008032583841935498	-0.0033431119552557783	0.0030917765269255658	0.006047202758323746	0.014501355576929291	-0.005046935921414546	0.008221472659213877	-0.0012355457905321601	-0.002411623016044794	0.0007995591795984962	-0.006199769377725467	-0.0010929383271879125	-0.012716882062356152	0.008069498067535045	-0.00046745834780407875	0.006683034412518375	-0.007780958517013183	0.01179162283212776	0.0019981265243250103	0.007793163757053392	0.010299263973511547	-0.007391881930829634	0.0001840240234622779	0.01002838652308787	-0.008560247305729721	-0.001659272824409824	0.00596271238449009	0.011776979959160825	-0.004913837820279136	-0.0157674884755344	-0.010145532254367068	-0.020782064341632243	-0.0035863360040122457	-0.003706269700629599	-0.006249706530558585	-0.004956563655000787	0.011792050714833954	-0.013535595732682128	0.07485840793859173	0.02124919404885535	-0.015229740185437435	-0.003084922836907372	-0.005815284792157668	-0.011508154412694193	-0.010620808488232936	-0.019180657036314826	-0.014278831769492939	-0.04471430150896154	0.04330634320300846	-0.01954240329494813	-0.013011947478537601	0.0133880327527256	0.03313330773306113	-0.04031606985482063	0.07131253338811425
AR	0.0023525422323983037	0.00204673892128814	0.003242243971934981	0.008705115942655139	0.003899078017488399	0.000879025647206704	-0.003343093702750497	0.0010904813683521473	-0.00727050754998032	-0.002791891992869781	0.00296871161502301	-0.004175809156047378	-0.007862277218485371	0.008150843418368633	-0.010743701243403448	-0.005448958477254716	0.0024190295286667185	0.005694155966870585	-0.02088230698044781	-0.004170424402802768	-0.00936388993511595	0.011810297775656788	-0.0012467944576977019	0.015119880441118916	0.010948030320278765	0.0001648205278787267	0.009580627381093453	0.011249785260554116	-0.005816782565572831	0.002867874567363879	-0.005899242330335713	-0.0005544186145942968	0.0014343497890920885	-0.0015625884844588877	-0.01769266622463584	0.008129069201779908	-0.021955742806188235	0.013606369624632814	-0.0060698161190152235	-0.020424343674458657	0.00576572866853855	-0.006991739043723041	-0.03796898050686473	-0.012870117027676856	-0.0017246805843151598	0.009539174055629967	0.002172608242507644	0.02329419396811155	0.031106868191047257	0.018893651915558994	0.041101920202368546	0.017891569976381135	0.012953784241456573	0.018855623353420028	-0.029436450779877204	0.029800889659612608	0.00521458187515998	0.024739111461579307	-0.032881386696147735	0.0009733877859477884	0.025058648799879162	0.00484414604117413	0.047204337328714256	0.03997352431838454	-0.005979666406507032	0.01489498839286854	0.012804402178524951	0.023909942791048463	-0.024263495259755446	-0.00885564018776612	0.06952548781154867	-0.04657001673898983	0.012023816204125657	0.02449670350643061	0.0025432809539427123	0.01856857125260794	0.03583749043733165	0.005182388240259179	0.02834006172163247	0.009884953642505188	0.0018910203304045852	0.011023698536804629	0.00243543114985336	-0.010727528980616607	0.03092218936739215	-0.08025794160681647	-0.0018176117984124822	0.03939937189832333	-0.02243617996486349	-0.024423332534621346	0.009123486202686423	-0.05167692378820469	-0.03406926865606099	0.005564218122569236	-0.023946807204347206	0.06480423646693827	-0.024236482620339877	-0.027418196460186953	-0.07506325064490688	0.04102352821463629
